Job_Role,Company_name,Location,Desired_Experience,Skills_Required,Salary_Expected,Education
"senior data scientist- ( sas skills)
core compete pvt. ltd.",core compete pvt. ltd.,"['pune', ' hyderabad( gachibowli )']",4 - 6 years,"['key skills', 'predictive modelingsas programmingadvanced analytics', 'sas macroslogistic regressionstatisticsmachine learningmodelingproc sqlmodel developmentlinear regressionstatistical modelingtime seriespredictive analytics', 'skills highlighted with ‘‘ are preferred keyskills']","₹ 9,00,000 - 16,00,000 p.a.","['education', 'ug :any graduate in any specialization']"
"data analyst/data scientist - c++/c#/java
confidential",confidential,['hyderabad'],5 - 7 years,"['key skills', 'c#javac++data scientisthadoopdata analystmachine learningsolution architect']",not disclosed,"['education', 'ug :b.tech/b.e. in computers', 'pg :ms/m.sc(science) in computers', 'doctorate :doctorate not required, any doctorate in any specialization']"
"data analyst / data scientist - c++/c#/java
confidential",confidential,['hyderabad'],5 - 7 years,"['key skills', 'c#javaarchitectingc++software developmentdata scientisthadoopdata analysismachine learningsolution architect']",not disclosed,"['education', 'ug :b.tech/b.e. in computers', 'pg :ms/m.sc(science) in computers', 'doctorate :doctorate not required']"
"hiring data scientist for innominds
innominds software sez india private limited3.6(81 reviews)",innominds software sez india private limited3.6(81 reviews),"['bengaluru', ' hyderabad']",5 - 10 years,"['key skills', 'data sciencealgorithm developmentdeep learningalgorithmsartificial intelligencekerascustomer communicationmachine learningpython']",not disclosed,"['education', 'ug :b.tech/b.e. in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :any doctorate in any specialization, m.phil. in dermatology, ph.d in any specialization']"
"opening for senior data scientist - mumbai location
mahindra holidays and resorts india limited3.9(817 reviews)",mahindra holidays and resorts india limited3.9(817 reviews),['mumbai'],6 - 11 years,"['key skills', 'artificial intelligencedata analyticsmachine learning']","₹ 8,00,000 - 12,00,000 p.a.","['education', 'ug :b.tech/b.e. in any specialization']"
"lets connect to explore new role : data scientist at cuelogic
cuelogic technologies pvt ltd4.0(28 reviews)",cuelogic technologies pvt ltd4.0(28 reviews),['pune'],4 - 8 years,"['key skills', 'deep learning frameworksalgorithmsnlp librariesawsscriptingtestingpythonsql']",not disclosed,"['education', 'ug :any graduate in any specialization', 'pg :any postgraduate in any specialization', 'doctorate :any doctorate in any specialization']"
"lead data scientist - deep learning/machine learning
confidential",confidential,['bengaluru'],4 - 9 years,"['key skills', 'ropencvdata scientistdata managementtime series forecastingdistributed systemsmachine learningdeep learninganalyticspythonlinear programming']",not disclosed,"['education', 'ug :b.a in economics, english, statistics, journalism, maths, b.sc in maths, computers, statistics, b.tech/b.e. in computers', 'pg :any postgraduate in any specialization', 'doctorate :any doctorate in any specialization, doctorate not required']"
"chief data scientist - machine learning/ python
catalyst",catalyst,['bengaluru'],7 - 12 years,"['key skills', 'data sciencerdata scientisthadoopstatistical modelingsparkmachine learningalgorithmdeep learningpython']",not disclosed,"['education', 'ug :b.tech/b.e. in computers, b.sc in computers, bca in computers', 'pg :ms/m.sc(science) in computers, m.tech in computers, electrical, mca in computers', 'doctorate :doctorate not required']"
"chief data scientist - machine learning/ python
catalyst",catalyst,['bengaluru'],9 - 14 years,"['key skills', 'data scienceralgorithmsdata structurescomputer sciencehadoopsparkmachine learningpythonsql']",not disclosed,"['education', 'ug :any graduate in any specialization, b.tech/b.e. in any specialization, computers', 'pg :any postgraduate in any specialization', 'doctorate :doctorate not required, any doctorate in any specialization']"
"chief data scientist - machine learning/python
catalyst",catalyst,['bengaluru'],7 - 12 years,"['key skills', 'data scienceralgorithmsdata structureshadoopsparkdemand forecastingmachine learningpythonsqlchief data scientist - machine learning / python']",not disclosed,"['education', 'ug :b.sc in maths, computers, statistics, b.a in statistics, maths, b.tech/b.e. in computers', 'pg :m.a in maths, statistics, mca in computers, ms/m.sc(science) in computers, statistics, maths, m.tech in computers', 'doctorate :any doctorate in any specialization, doctorate not required']"
